year,party,incumbent,turnout,coalition,new,forecast,change_1m,change_6m,measurement
2008,TS.LKD,0,0.485875842423658,0,0,0.123427006416125,-0.0171786844282645,-0.0289515829748032,0.0904357792210201
2008,LVZS,1,0.485875842423658,0,0,0.0466187068788692,-0.0256101341584629,-0.214311773935454,0.0171218319863209
2008,LSDP,1,0.485875842423658,0,0,0.09143940112614,-0.0417631295437488,-0.226530844878625,0.0537407875849842
2008,LRLS,0,0.485875842423658,0,0,0.0259917492647827,0.0191609915030266,-0.0504685332353974,0.0262832472209756
2008,DP,0,0.485875842423658,1,0,0.0937518004135847,0.00129960555141778,0.186296481711999,0.0412259976484465
2008,LLRA.KSS,0,0.485875842423658,0,0,0.016064995011629,0.0135861214251984,0.0687068748684956,0.0219714475406978
2008,TT.LT,0,0.485875842423658,0,0,0.105929005729985,-0.0184662992315927,-0.217651549594567,0.0581497650300991
2008,LP,0,0.485875842423658,0,0,0,0,0,0
2008,LSDDP.LRP,0,0.485875842423658,0,0,0,0,0,0
2008,VL,0,0.485875842423658,0,0,0,0,0,0
2008,NA.,0,0.485875842423658,0,0,0,0,0,0
2008,NS,0,0.485875842423658,0,0,0,0,0,0
2012,TS.LKD,1,0.529286228113079,0,0,0.0789653000417009,0.0271847714533557,0.131349250651505,0.0798132295479324
2012,LVZS,0,0.529286228113079,0,0,0.0275725485231425,0.0303070668811524,0.029892224425222,0.0205303007474063
2012,LSDP,0,0.529286228113079,0,0,0.162163496611977,-0.0165369256246843,0.17883483637193,0.0972060926790032
2012,LRLS,1,0.529286228113079,0,0,0.0560033766206164,0.0406989013312054,0.104035378793224,0.0453852507593441
2012,DP,0,0.529286228113079,0,0,0.162854137719804,-0.000455148302246572,-0.00663160342398633,0.104898049696765
2012,LLRA.KSS,0,0.529286228113079,0,0,0.0267628657594142,0.105160628567936,0.385470005478498,0.0308450953439514
2012,TT.LT,0,0.529286228113079,0,0,0.072666401633419,-0.0808049725863456,-0.0876732875958364,0.0386799968165884
2012,LP,0,0.529286228113079,0,0,0,0,0,0
2012,LSDDP.LRP,0,0.529286228113079,0,0,0,0,0,0
2012,VL,0,0.529286228113079,0,0,0,0,0,0
2012,NA.,0,0.529286228113079,0,0,0,0,0,0
2012,NS,0,0.529286228113079,0,0,0,0,0,0
2016,TS.LKD,0,0.50640186713337,0,0,0.116549768314551,0.0352024647900717,0.187805526653383,0.109865878328535
2016,LVZS,0,0.50640186713337,0,1,0.120755473336063,-0.0317422712697883,0.248056665491195,0.109004130583217
2016,LSDP,1,0.50640186713337,0,0,0.156264689917033,0.00194973744556597,-0.134268235457593,0.0730107525598919
2016,LRLS,0,0.50640186713337,0,0,0.0427941702739527,-0.0527773813292393,-1.72408782889,0.0458754414617978
2016,DP,1,0.50640186713337,0,0,0.0599426103540282,-0.0783149490291212,-0.247547321105263,0.0237089988813584
2016,LLRA.KSS,0,0.50640186713337,0,0,0.0368443986655137,-0.0253298887317961,-0.0598782390872586,0.0277612413939555
2016,TT.LT,1,0.50640186713337,0,0,0.0520468299345577,-0.0410652395994512,-0.452248760202093,0.0269686879761335
2016,LP,0,0.50640186713337,0,0,0,0,0,0
2016,LSDDP.LRP,0,0.50640186713337,0,0,0,0,0,0
2016,VL,0,0.50640186713337,0,0,0,0,0,0
2016,NA.,0,0.50640186713337,0,0,0,0,0,0
2016,NS,0,0.50640186713337,0,0,0,0,0,0
2020,TS.LKD,0,0.478095569800002,0,0,0.13572510184446,-0.0277652753075524,-0.212521775823036,0.117817637633548
2020,LVZS,1,0.478095569800002,0,0,0.148912513184697,0.00459144170789713,0.240410006045785,0.0831745819909656
2020,LSDP,0,0.478095569800002,0,0,0.0908077571544377,-0.00916647803317348,-0.060210863385435,0.0440053838473188
2020,LRLS,0,0.478095569800002,0,0,0.0555315228896762,0.0108216790823077,0.0330014793464524,0.0322412380244796
2020,DP,0,0.478095569800002,0,0,0.0707641866268162,0.0593320064111349,0.2022269885488,0.0449823047521241
2020,LLRA.KSS,1,0.478095569800002,0,0,0.0310851101920327,0.00525703572585323,-0.0129758526129878,0.0229228529508219
2020,TT.LT,0,0.478095569800002,0,0,0.043452540086867,0.0421810092905814,0.159095250360706,0.00945997960713213
2020,LP,0,0.478095569800002,0,1,0.0354767683312566,-0.0274995010911905,0.169629446485047,0.0428526904182003
2020,LSDDP.LRP,1,0.478095569800002,0,1,0.0190474248880471,-0.006867584671626,-0.137096213021625,0.015068832032264
2020,VL,0,0.478095569800002,0,0,0,0,0,0
2020,NA.,0,0.478095569800002,0,0,0,0,0,0
2020,NS,0,0.478095569800002,0,0,0,0,0,0
2024,TS.LKD,1,0.51190504150366,0,0,0.1032771367292,0.0168797500305807,0.10391757294958,0.0939561342879958
2024,LVZS,0,0.51190504150366,1,0,0.0722701668722169,-0.0288762702262801,-0.149478608490399,0.0366445112499413
2024,LSDP,0,0.51190504150366,0,0,0.162856076534906,0.0207925090550073,0.00270739393406965,0.100866560866443
2024,LRLS,1,0.51190504150366,0,0,0.0498262094572257,-0.00395811117914173,-0.0213682180680755,0.0402068808170551
2024,DP,0,0.51190504150366,1,0,0.019493539672379,-0.196164104033371,-1.02457447309478,0.0114755775954047
2024,LLRA.KSS,0,0.51190504150366,0,0,0.0147988232964617,-0.041873317427262,-0.179789316717414,0.0202519074236863
2024,TT.LT,0,0.51190504150366,0,0,0.0104961048332692,-0.0644437029597313,-0.487037491061985,0.00392850432483576
2024,LP,1,0.51190504150366,0,0,0.0283097905411003,-0.0176403074892722,-0.0609468980970333,0.023645259456594
